"album_id","title","extra","artist_name","artist_id","role","label","year","rating","rank"
7557957,To Pimp A Butterfly,"0,1",Kendrick Lamar,1778977,"A&R [Top Dawg],Art Direction","Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Alicia N. Graham,1827140,A&R [A&R Administration - Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Anthony Tiffith,3368939,Executive-Producer,"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Archie Davis,2522038,Other [Marketing - Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Ashley Palmer,3116115,Other [General Manager - Aftermath Entertainment],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Chelsea Blythe,3890924,Coordinator [A&R Coordinator - Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Dave Free,2596320,"Art Direction,Management [Top Dawg],Producer [Associate Producer]","Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,David Kim (6),4319592,Recorded By [String Recordings],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Denis Rouvre,2259091,Photography By [Cover Photography],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Derek Ali,2837936,Mixed By,"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Diego Cambiaso,4319589,Photography By [Whitehouse Photography],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Dr. Dre,50513,Executive-Producer,"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Gary Kelly,1042009,Other [Sales - Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,James Hunt (7),2983562,Mixed By [Mix Assistant],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Jason Kawejsza,4408035,Legal [Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,John Janick,1392278,Other [Top's Homies - Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,"Joshua P. Binder, Esq.",4319591,Legal [Top Dawg],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Kamasi Washington,324293,Arranged By [String Arrangements],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Manny Smith (2),2009350,A&R [Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Matt Schaeffer,3890928,Mixed By [Mix Assistant],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Mike Bozzi,401309,Mastered By,"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Moosa,3116116,Management [Top Dawg],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Punch (16),3116114,Management [Top Dawg],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Ray Alba,4393100,Other [Publicity - Interscope Records],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
7557957,To Pimp A Butterfly,1,Ret One,3116117,Management [Top Dawg],"Aftermath Entertainment,Interscope Records,Top Dawg Entertainment",2015,4.37,1
